Step;IRD;VIX;CT;ER;SMUS;SM
4;2.55;3.42;90.54;1.23;2.12;0.14
8;2.08;8.45;77.54;4.98;6.29;0.66
12;2.07;11.93;67.85;8.6;8.36;1.19
16;2.35;13.61;62.38;11.28;8.87;1.51
20;2.75;14.3;59.36;13.13;8.82;1.64
