Step;IRD;VIX;CT;ER;SMUS;SM
4;4.35;0.12;87.44;6.5;1.02;0.56
8;5.51;0.28;76.28;14.6;1.48;1.86
12;8.66;0.37;66.25;15.56;5.44;3.71
16;10.01;0.6;57.14;13.91;12.28;6.07
20;9.7;1.13;48.96;11.79;19.71;8.71
